Date,Name,Marcap
1996-01-12,한국외환은행,1501500000000.0
1996-01-12,삼성전자(1우),1487368303800.0
1996-01-12,한일은행,1397720000000.0
1996-01-13,한국전력공사,18273570525700.0
1996-01-13,삼성전자,9111372975000.0
1996-01-13,포항종합제철,5023746835000.0
1996-01-13,한국이동통신,3467916265000.0
1996-01-13,대우중공업,2865591617760.0
1996-01-13,엘지전자,2240102082600.0
1996-01-13,신한은행,1884960000000.0
1996-01-13,데이콤,1823958000000.0
1996-01-13,현대건설,1791478644400.0
1996-01-13,삼성전관,1560056330000.0
1996-01-13,유공,1531133500000.0
1996-01-13,조흥은행,1508800000000.0
1996-01-13,한국외환은행,1489950000000.0
1996-01-13,삼성전자(1우),1489211387200.0
1996-01-13,한일은행,1391080000000.0
1996-01-15,한국전력공사,17961734851200.0
1996-01-15,삼성전자,9077501700000.0
1996-01-15,포항종합제철,5004966473000.0
1996-01-15,한국이동통신,3450719986000.0
1996-01-15,대우중공업,2822714935200.0
1996-01-15,엘지전자,2188605483000.0
1996-01-15,신한은행,1860320000000.0
1996-01-15,데이콤,1791153000000.0
1996-01-15,현대건설,1776834404800.0
1996-01-15,삼성전관,1537769811000.0
1996-01-15,유공,1500510830000.0
1996-01-15,한국외환은행,1485000000000.0
1996-01-15,조흥은행,1477640000000.0
1996-01-15,삼성전자(1우),1437605052000.0
1996-01-15,한일은행,1361200000000.0
1996-01-16,한국전력공사,18086469121000.0
1996-01-16,삼성전자,9111372975000.0
1996-01-16,포항종합제철,4958015568000.0
1996-01-16,한국이동통신,3456452079000.0
1996-01-16,대우중공업,2929906641600.0
1996-01-16,엘지전자,2188605483000.0
1996-01-16,신한은행,1884960000000.0
1996-01-16,데이콤,1784592000000.0
1996-01-16,현대건설,1771952991600.0
1996-01-16,삼성전관,1537769811000.0
1996-01-16,한국외환은행,1509750000000.0
1996-01-16,유공,1500510830000.0
1996-01-16,조흥은행,1476000000000.0
1996-01-16,삼성전자(1우),1446820469000.0
1996-01-16,한일은행,1382780000000.0
1996-01-17,한국전력공사,18024101986100.0
1996-01-17,삼성전자,8874274050000.0
1996-01-17,포항종합제철,4929845025000.0
1996-01-17,한국이동통신,3353274405000.0
1996-01-17,대우중공업,2894176072800.0
1996-01-17,엘지전자,2145691650000.0
1996-01-17,신한은행,1872640000000.0
1996-01-17,데이콤,1764909000000.0
1996-01-17,현대건설,1762190165200.0
1996-01-17,삼성전관,1522169247700.0
1996-01-17,한국외환은행,1521300000000.0
1996-01-17,조흥은행,1472720000000.0
1996-01-17,유공,1457639092000.0
1996-01-17,삼성전자(1우),1391527967000.0
1996-01-17,한일은행,1377800000000.0
1996-01-18,한국전력공사,17712266311600.0
1996-01-18,삼성전자,8772660225000.0
1996-01-18,포항종합제철,4873503939000.0
1996-01-18,한국이동통신,3301685568000.0
1996-01-18,대우중공업,2894176072800.0
1996-01-18,엘지전자,2085612283800.0
1996-01-18,신한은행,1884960000000.0
1996-01-18,데이콤,1791153000000.0
1996-01-18,현대건설,1742664512400.0
1996-01-18,한국외환은행,1522950000000.0
1996-01-18,삼성전관,1508797336300.0
1996-01-18,조흥은행,1484200000000.0
1996-01-18,유공,1420891888000.0
1996-01-18,한일은행,1381120000000.0
1996-01-18,상업은행,1343000000000.0
1996-01-19,한국전력공사,17587532041800.0
1996-01-19,삼성전자,8738788950000.0
1996-01-19,포항종합제철,4873503939000.0
1996-01-19,한국이동통신,3313149754000.0
1996-01-19,대우중공업,2858445504000.0
1996-01-19,엘지전자,2077029517200.0
1996-01-19,신한은행,1884960000000.0
1996-01-19,데이콤,1817397000000.0
1996-01-19,현대건설,1747545925600.0
1996-01-19,한국외환은행,1521300000000.0
1996-01-19,삼성전관,1508797336300.0
1996-01-19,조흥은행,1484200000000.0
1996-01-19,유공,1408642820000.0
1996-01-19,한일은행,1366180000000.0
1996-01-19,상업은행,1343000000000.0
1996-01-20,한국전력공사,17649899176700.0
1996-01-20,삼성전자,8671046400000.0
1996-01-20,포항종합제철,4929845025000.0
1996-01-20,한국이동통신,3336078126000.0
1996-01-20,대우중공업,2822714935200.0
1996-01-20,엘지전자,2051281217400.0
1996-01-20,신한은행,1872640000000.0
1996-01-20,현대건설,1723138859600.0
1996-01-20,데이콤,1718982000000.0
1996-01-20,한국외환은행,1506450000000.0
1996-01-20,삼성전관,1495425424900.0
1996-01-20,조흥은행,1482560000000.0
1996-01-20,유공,1420891888000.0
1996-01-20,한일은행,1357880000000.0
1996-01-20,상업은행,1322600000000.0
1996-01-22,한국전력공사,17961734851200.0
1996-01-22,삼성전자,8603303850000.0
1996-01-22,포항종합제철,5127038826000.0
1996-01-22,한국이동통신,3318881847000.0
1996-01-22,대우중공업,2783411309520.0
1996-01-22,엘지전자,2008367384400.0
1996-01-22,신한은행,1860320000000.0
1996-01-22,데이콤,1718982000000.0
1996-01-22,현대건설,1708494620000.0
1996-01-22,한국외환은행,1506450000000.0
1996-01-22,삼성전관,1486510817300.0
1996-01-22,조흥은행,1476000000000.0
1996-01-22,유공,1384144684000.0
1996-01-22,한일은행,1369500000000.0
1996-01-22,상업은행,1317500000000.0
1996-01-23,한국전력공사,17961734851200.0
1996-01-23,삼성전자,8806531500000.0
1996-01-23,포항종합제철,5145819188000.0
1996-01-23,한국이동통신,3313149754000.0
1996-01-23,대우중공업,2879883845280.0
1996-01-23,엘지전자,2034115684200.0
1996-01-23,신한은행,1860320000000.0
1996-01-23,데이콤,1771470000000.0
1996-01-23,현대건설,1713376033200.0
1996-01-23,한국외환은행,1526250000000.0
1996-01-23,삼성전관,1506568684400.0
1996-01-23,조흥은행,1461240000000.0
1996-01-23,유공,1420891888000.0
1996-01-23,한일은행,1369500000000.0
1996-01-23,상업은행,1326000000000.0
1996-01-24,한국전력공사,18086469121000.0
1996-01-24,삼성전자,9280729350000.0
1996-01-24,포항종합제철,5108258464000.0
1996-01-24,한국이동통신,3485112544000.0
1996-01-24,대우중공업,2929906641600.0
1996-01-24,엘지전자,2094195050400.0
1996-01-24,신한은행,1897280000000.0
1996-01-24,데이콤,1810836000000.0
1996-01-24,현대건설,1732901686000.0
1996-01-24,한국외환은행,1584000000000.0
1996-01-24,삼성전관,1560056330000.0
1996-01-24,조흥은행,1508800000000.0
1996-01-24,유공,1451514558000.0
1996-01-24,한일은행,1394400000000.0
1996-01-24,삼성전자(1우),1382312550000.0
1996-01-25,한국전력공사,17899367716300.0
1996-01-25,삼성전자,9416214450000.0
1996-01-25,포항종합제철,5033137016000.0
1996-01-25,한국이동통신,3496576730000.0
1996-01-25,대우중공업,2947771926000.0
1996-01-25,엘지전자,2085612283800.0
1996-01-25,신한은행,1897280000000.0
1996-01-25,데이콤,1797714000000.0
1996-01-25,현대건설,1737783099200.0
1996-01-25,삼성전관,1586800152800.0
1996-01-25,한국외환은행,1575750000000.0
1996-01-25,조흥은행,1517000000000.0
1996-01-25,유공,1469888160000.0
1996-01-25,한일은행,1427600000000.0
1996-01-25,삼성전자(1우),1400743384000.0
1996-01-26,한국전력공사,17774633446500.0
1996-01-26,삼성전자,9382343175000.0
1996-01-26,포항종합제철,4948625387000.0
1996-01-26,한국이동통신,3462184172000.0
1996-01-26,대우중공업,3001367779200.0
1996-01-26,엘지전자,2051281217400.0
1996-01-26,신한은행,1884960000000.0
1996-01-26,데이콤,1784592000000.0
1996-01-26,현대건설,1732901686000.0
1996-01-26,한국외환은행,1569150000000.0
1996-01-26,삼성전관,1564513633800.0
1996-01-26,조흥은행,1525200000000.0
1996-01-26,유공,1457639092000.0
1996-01-26,한일은행,1411000000000.0
1996-01-26,삼성전자(1우),1384155633400.0
1996-01-27,한국전력공사,17649899176700.0
1996-01-27,삼성전자,9382343175000.0
1996-01-27,포항종합제철,4958015568000.0
1996-01-27,한국이동통신,3490844637000.0
1996-01-27,대우중공업,2965637210400.0
1996-01-27,엘지전자,2042698450800.0
1996-01-27,신한은행,1872640000000.0
1996-01-27,데이콤,1771470000000.0
1996-01-27,현대건설,1718257446400.0
1996-01-27,한국외환은행,1570800000000.0
1996-01-27,삼성전관,1560056330000.0
1996-01-27,조흥은행,1517000000000.0
1996-01-27,유공,1445390024000.0
1996-01-27,한일은행,1404360000000.0
1996-01-27,삼성전자(1우),1376783299800.0
1996-01-29,한국전력공사,17774633446500.0
1996-01-29,삼성전자,9483957000000.0
1996-01-29,포항종합제철,4958015568000.0
1996-01-29,한국이동통신,3542433474000.0
1996-01-29,대우중공업,2979929437920.0
1996-01-29,엘지전자,2059863984000.0
1996-01-29,신한은행,1872640000000.0
1996-01-29,데이콤,1758348000000.0
1996-01-29,현대건설,1718257446400.0
1996-01-29,삼성전관,1604629368000.0
1996-01-29,한국외환은행,1559250000000.0
1996-01-29,조흥은행,1517000000000.0
1996-01-29,삼성전자(1우),1457878969400.0
1996-01-29,유공,1445390024000.0
1996-01-29,한일은행,1402700000000.0
1996-01-30,한국전력공사,18086469121000.0
1996-01-30,삼성전자,9517828275000.0
1996-01-30,포항종합제철,5023746835000.0
1996-01-30,한국이동통신,3559629753000.0
1996-01-30,대우중공업,2912041357200.0
1996-01-30,엘지전자,2042698450800.0
1996-01-30,신한은행,1872640000000.0
1996-01-30,데이콤,1745226000000.0
1996-01-30,현대건설,1732901686000.0
1996-01-30,삼성전관,1626915887000.0
1996-01-30,한국외환은행,1559250000000.0
1996-01-30,삼성전자(1우),1544503889200.0
1996-01-30,조흥은행,1517000000000.0
1996-01-30,유공,1463763626000.0
1996-01-30,한일은행,1404360000000.0
1996-01-31,한국전력공사,18335937660600.0
1996-01-31,삼성전자,9517828275000.0
1996-01-31,포항종합제철,5117648645000.0
1996-01-31,한국이동통신,3771717194000.0
1996-01-31,대우중공업,2840580219600.0
1996-01-31,엘지전자,2042698450800.0
1996-01-31,신한은행,1884960000000.0
1996-01-31,현대건설,1742664512400.0
1996-01-31,데이콤,1718982000000.0
1996-01-31,삼성전관,1649202406000.0
1996-01-31,한국외환은행,1567500000000.0
1996-01-31,삼성전자(1우),1566620890000.0
1996-01-31,조흥은행,1510440000000.0
1996-01-31,유공,1445390024000.0
1996-01-31,한일은행,1444200000000.0
1996-02-01,한국전력공사,18772507604900.0
1996-02-01,삼성전자,9483957000000.0
1996-02-01,포항종합제철,5023746835000.0
1996-02-01,한국이동통신,3817573938000.0
1996-02-01,대우중공업,2894176072800.0
1996-02-01,엘지전자,2059863984000.0
1996-02-01,신한은행,1958880000000.0
1996-02-01,현대건설,1737783099200.0
1996-02-01,데이콤,1718982000000.0
1996-02-01,삼성전관,1649202406000.0
1996-02-01,한국외환은행,1618650000000.0
1996-02-01,삼성전자(1우),1566620890000.0
1996-02-01,조흥은행,1558000000000.0
1996-02-01,한일은행,1467440000000.0
1996-02-01,유공,1445390024000.0
1996-02-02,한국전력공사,18460671930400.0
1996-02-02,삼성전자,9450085725000.0
1996-02-02,포항종합제철,5004966473000.0
1996-02-02,한국이동통신,3846234403000.0
1996-02-02,대우중공업,2872737731520.0
1996-02-02,엘지전자,2034115684200.0
1996-02-02,신한은행,1983520000000.0
1996-02-02,현대건설,1752427338800.0
1996-02-02,데이콤,1718982000000.0
1996-02-02,한국외환은행,1650000000000.0
1996-02-02,삼성전관,1638059146500.0
1996-02-02,조흥은행,1541600000000.0
1996-02-02,삼성전자(1우),1529759222000.0
1996-02-02,한일은행,1460800000000.0
1996-02-02,유공,1457639092000.0
1996-02-03,한국전력공사,18647773335100.0
1996-02-03,삼성전자,9585570825000.0
1996-02-03,포항종합제철,5051917378000.0
1996-02-03,한국이동통신,3811841845000.0
1996-02-03,대우중공업,2829861048960.0
1996-02-03,엘지전자,2034115684200.0
1996-02-03,신한은행,1995840000000.0
1996-02-03,현대건설,1771952991600.0
1996-02-03,데이콤,1718982000000.0
1996-02-03,한국외환은행,1666500000000.0
1996-02-03,삼성전관,1660345665500.0
1996-02-03,삼성전자(1우),1577679390400.0
1996-02-03,조흥은행,1535040000000.0
1996-02-03,유공,1469888160000.0
1996-02-03,한일은행,1457480000000.0
1996-02-05,한국전력공사,18710140470000.0
1996-02-05,삼성전자,9619442100000.0
1996-02-05,포항종합제철,5070697740000.0
1996-02-05,한국이동통신,3783181380000.0
1996-02-05,대우중공업,2829861048960.0
1996-02-05,엘지전자,2051281217400.0
1996-02-05,신한은행,2045120000000.0
1996-02-05,현대건설,1796360057600.0
1996-02-05,데이콤,1725543000000.0
1996-02-05,한국외환은행,1716000000000.0
1996-02-05,삼성전관,1691546792100.0
1996-02-05,조흥은행,1607200000000.0
1996-02-05,삼성전자(1우),1599796391200.0
1996-02-05,유공,1531133500000.0
1996-02-05,한일은행,1510600000000.0
1996-02-06,한국전력공사,18710140470000.0
1996-02-06,삼성전자,9145244250000.0
1996-02-06,포항종합제철,5051917378000.0
1996-02-06,한국이동통신,3685735799000.0
1996-02-06,대우중공업,2858445504000.0
1996-02-06,엘지전자,2034115684200.0
1996-02-06,신한은행,2032800000000.0
1996-02-06,현대건설,1830529950000.0
1996-02-06,한국외환은행,1699500000000.0
1996-02-06,데이콤,1692738000000.0
1996-02-06,삼성전관,1649202406000.0
1996-02-06,조흥은행,1590800000000.0
1996-02-06,유공,1531133500000.0
1996-02-06,삼성전자(1우),1503956054400.0
1996-02-06,한일은행,1487360000000.0
1996-02-07,한국전력공사,18710140470000.0
1996-02-07,삼성전자,9416214450000.0
1996-02-07,포항종합제철,5061307559000.0
1996-02-07,한국이동통신,3697199985000.0
1996-02-07,대우중공업,2837007162720.0
1996-02-07,신한은행,2032800000000.0
1996-02-07,엘지전자,2025532917600.0
1996-02-07,현대건설,1840292776400.0
1996-02-07,한국외환은행,1716000000000.0
1996-02-07,데이콤,1666494000000.0
1996-02-07,삼성전관,1653659709800.0
1996-02-07,조흥은행,1630160000000.0
